"statepuma","stab","pumaname","dem12","rep12","dem16","rep16","propR12","propR16","changeinR","changeinpropR"
"5311505","WA","Pierce County (North Central)--Tacoma (Port) & Bonney Lake (Northwest) Cities",186430,148467,172538,146824,0.443321379409191,0.459741609834608,-1643,0.0164202304254163
"5311506","WA","Pierce County (East Central)--Puyallup City & South Hill",186430,148467,172538,146824,0.443321379409191,0.459741609834608,-1643,0.0164202304254163
"5311507","WA","Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge",186430,148467,172538,146824,0.443321379409191,0.459741609834608,-1643,0.0164202304254163
"5311601","WA","Seattle City (Northwest)",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311602","WA","Seattle City (Northeast)",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311603","WA","Seattle City (Downtown)--Queen Anne & Magnolia",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311604","WA","Seattle City (Southeast)--Capitol Hill",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311605","WA","Seattle City (West)--Duwamish & Beacon Hill",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311606","WA","King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311607","WA","King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311608","WA","King County (Northwest Central)--Greater Bellevue City",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311609","WA","King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311610","WA","King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311611","WA","King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311612","WA","King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
"5311613","WA","King County (Southwest Central)--Kent City",668004,275700,718322,216339,0.292146690063834,0.231462530264984,-59361,-0.0606841597988498
